id,speaker_id,book_id,source_id,source_dir,noisy_wav,clean_wav,noisy_sr,clean_sr,noisy_duration_sec,clean_duration_sec,duration_diff_sec,valid,reason,noisy_pick_reason,clean_find_reason
1081_125237_1081-125237-0091,1081,125237,1081-125237-0091,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/1081/125237/1081-125237-0091,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/1081/125237/1081-125237-0091/1081-125237-0091.wav,/home/jaewoo/MAIR/ryu/RIR/data/speech/LibriSpeech_10h_60spk/clean/1081/125237/1081-125237-0091.flac,16000,16000,6.360000,6.360000,0.000000,1,ok,priority,exact
1088_129236_1088-129236-0013,1088,129236,1088-129236-0013,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/1088/129236/1088-129236-0013,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/1088/129236/1088-129236-0013/1088-129236-0013.wav,/home/jaewoo/MAIR/ryu/RIR/data/speech/LibriSpeech_10h_60spk/clean/1088/129236/1088-129236-0013.flac,16000,16000,16.020000,16.020000,0.000000,1,ok,priority,exact
1088_129236_1088-129236-0025,1088,129236,1088-129236-0025,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/1088/129236/1088-129236-0025,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/1088/129236/1088-129236-0025/1088-129236-0025.wav,/home/jaewoo/MAIR/ryu/RIR/data/speech/LibriSpeech_10h_60spk/clean/1088/129236/1088-129236-0025.flac,16000,16000,14.820000,14.820000,0.000000,1,ok,priority,exact
1088_129236_1088-129236-0026,1088,129236,1088-129236-0026,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/1088/129236/1088-129236-0026,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/1088/129236/1088-129236-0026/1088-129236-0026.wav,/home/jaewoo/MAIR/ryu/RIR/data/speech/LibriSpeech_10h_60spk/clean/1088/129236/1088-129236-0026.flac,16000,16000,14.805000,14.805000,0.000000,1,ok,priority,exact
1088_134315_1088-134315-0044,1088,134315,1088-134315-0044,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/1088/134315/1088-134315-0044,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/1088/134315/1088-134315-0044/1088-134315-0044.wav,/home/jaewoo/MAIR/ryu/RIR/data/speech/LibriSpeech_10h_60spk/clean/1088/134315/1088-134315-0044.flac,16000,16000,14.635000,14.635000,0.000000,1,ok,priority,exact
1088_134318_1088-134318-0011,1088,134318,1088-134318-0011,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/1088/134318/1088-134318-0011,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/1088/134318/1088-134318-0011/1088-134318-0011.wav,/home/jaewoo/MAIR/ryu/RIR/data/speech/LibriSpeech_10h_60spk/clean/1088/134318/1088-134318-0011.flac,16000,16000,13.275000,13.275000,0.000000,1,ok,priority,exact
1183_124566_1183-124566-0000,1183,124566,1183-124566-0000,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/1183/124566/1183-124566-0000,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/1183/124566/1183-124566-0000/1183-124566-0000.wav,/home/jaewoo/MAIR/ryu/RIR/data/speech/LibriSpeech_10h_60spk/clean/1183/124566/1183-124566-0000.flac,16000,16000,6.165000,6.165000,0.000000,1,ok,priority,exact
1183_128659_1183-128659-0006,1183,128659,1183-128659-0006,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/1183/128659/1183-128659-0006,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/1183/128659/1183-128659-0006/1183-128659-0006.wav,/home/jaewoo/MAIR/ryu/RIR/data/speech/LibriSpeech_10h_60spk/clean/1183/128659/1183-128659-0006.flac,16000,16000,11.125000,11.125000,0.000000,1,ok,priority,exact
1183_128659_1183-128659-0008,1183,128659,1183-128659-0008,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/1183/128659/1183-128659-0008,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/1183/128659/1183-128659-0008/1183-128659-0008.wav,/home/jaewoo/MAIR/ryu/RIR/data/speech/LibriSpeech_10h_60spk/clean/1183/128659/1183-128659-0008.flac,16000,16000,8.175000,8.175000,0.000000,1,ok,priority,exact
1183_128659_1183-128659-0009,1183,128659,1183-128659-0009,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/1183/128659/1183-128659-0009,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/1183/128659/1183-128659-0009/1183-128659-0009.wav,/home/jaewoo/MAIR/ryu/RIR/data/speech/LibriSpeech_10h_60spk/clean/1183/128659/1183-128659-0009.flac,16000,16000,9.305000,9.305000,0.000000,1,ok,priority,exact
1183_133255_1183-133255-0007,1183,133255,1183-133255-0007,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/1183/133255/1183-133255-0007,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/1183/133255/1183-133255-0007/1183-133255-0007.wav,/home/jaewoo/MAIR/ryu/RIR/data/speech/LibriSpeech_10h_60spk/clean/1183/133255/1183-133255-0007.flac,16000,16000,9.090000,9.090000,0.000000,1,ok,priority,exact
1183_133255_1183-133255-0010,1183,133255,1183-133255-0010,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/1183/133255/1183-133255-0010,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/1183/133255/1183-133255-0010/1183-133255-0010.wav,/home/jaewoo/MAIR/ryu/RIR/data/speech/LibriSpeech_10h_60spk/clean/1183/133255/1183-133255-0010.flac,16000,16000,14.150000,14.150000,0.000000,1,ok,priority,exact
1183_133256_1183-133256-0000,1183,133256,1183-133256-0000,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/1183/133256/1183-133256-0000,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/1183/133256/1183-133256-0000/1183-133256-0000.wav,/home/jaewoo/MAIR/ryu/RIR/data/speech/LibriSpeech_10h_60spk/clean/1183/133256/1183-133256-0000.flac,16000,16000,14.955000,14.955000,0.000000,1,ok,priority,exact
1183_133256_1183-133256-0001,1183,133256,1183-133256-0001,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/1183/133256/1183-133256-0001,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/1183/133256/1183-133256-0001/1183-133256-0001.wav,/home/jaewoo/MAIR/ryu/RIR/data/speech/LibriSpeech_10h_60spk/clean/1183/133256/1183-133256-0001.flac,16000,16000,9.955000,9.955000,0.000000,1,ok,priority,exact
1183_133256_1183-133256-0002,1183,133256,1183-133256-0002,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/1183/133256/1183-133256-0002,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/1183/133256/1183-133256-0002/1183-133256-0002.wav,/home/jaewoo/MAIR/ryu/RIR/data/speech/LibriSpeech_10h_60spk/clean/1183/133256/1183-133256-0002.flac,16000,16000,14.190000,14.190000,0.000000,1,ok,priority,exact
1183_133256_1183-133256-0003,1183,133256,1183-133256-0003,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/1183/133256/1183-133256-0003,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/1183/133256/1183-133256-0003/1183-133256-0003.wav,/home/jaewoo/MAIR/ryu/RIR/data/speech/LibriSpeech_10h_60spk/clean/1183/133256/1183-133256-0003.flac,16000,16000,4.435000,4.435000,0.000000,1,ok,priority,exact
1183_133256_1183-133256-0006,1183,133256,1183-133256-0006,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/1183/133256/1183-133256-0006,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/1183/133256/1183-133256-0006/1183-133256-0006.wav,/home/jaewoo/MAIR/ryu/RIR/data/speech/LibriSpeech_10h_60spk/clean/1183/133256/1183-133256-0006.flac,16000,16000,14.850000,14.850000,0.000000,1,ok,priority,exact
1183_133256_1183-133256-0008,1183,133256,1183-133256-0008,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/1183/133256/1183-133256-0008,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/1183/133256/1183-133256-0008/1183-133256-0008.wav,/home/jaewoo/MAIR/ryu/RIR/data/speech/LibriSpeech_10h_60spk/clean/1183/133256/1183-133256-0008.flac,16000,16000,2.205000,2.205000,0.000000,1,ok,priority,exact
1183_133256_1183-133256-0010,1183,133256,1183-133256-0010,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/1183/133256/1183-133256-0010,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/1183/133256/1183-133256-0010/1183-133256-0010.wav,/home/jaewoo/MAIR/ryu/RIR/data/speech/LibriSpeech_10h_60spk/clean/1183/133256/1183-133256-0010.flac,16000,16000,14.685000,14.685000,0.000000,1,ok,priority,exact
1183_133256_1183-133256-0012,1183,133256,1183-133256-0012,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/1183/133256/1183-133256-0012,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/1183/133256/1183-133256-0012/1183-133256-0012.wav,/home/jaewoo/MAIR/ryu/RIR/data/speech/LibriSpeech_10h_60spk/clean/1183/133256/1183-133256-0012.flac,16000,16000,5.055000,5.055000,0.000000,1,ok,priority,exact
1183_133256_1183-133256-0015,1183,133256,1183-133256-0015,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/1183/133256/1183-133256-0015,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/1183/133256/1183-133256-0015/1183-133256-0015.wav,/home/jaewoo/MAIR/ryu/RIR/data/speech/LibriSpeech_10h_60spk/clean/1183/133256/1183-133256-0015.flac,16000,16000,14.675000,14.675000,0.000000,1,ok,priority,exact
1183_133256_1183-133256-0016,1183,133256,1183-133256-0016,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/1183/133256/1183-133256-0016,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/1183/133256/1183-133256-0016/1183-133256-0016.wav,/home/jaewoo/MAIR/ryu/RIR/data/speech/LibriSpeech_10h_60spk/clean/1183/133256/1183-133256-0016.flac,16000,16000,12.545000,12.545000,0.000000,1,ok,priority,exact
1183_133256_1183-133256-0017,1183,133256,1183-133256-0017,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/1183/133256/1183-133256-0017,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/1183/133256/1183-133256-0017/1183-133256-0017.wav,/home/jaewoo/MAIR/ryu/RIR/data/speech/LibriSpeech_10h_60spk/clean/1183/133256/1183-133256-0017.flac,16000,16000,4.285000,4.285000,0.000000,1,ok,priority,exact
1183_133256_1183-133256-0020,1183,133256,1183-133256-0020,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/1183/133256/1183-133256-0020,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/1183/133256/1183-133256-0020/1183-133256-0020.wav,/home/jaewoo/MAIR/ryu/RIR/data/speech/LibriSpeech_10h_60spk/clean/1183/133256/1183-133256-0020.flac,16000,16000,14.480000,14.480000,0.000000,1,ok,priority,exact
1183_133256_1183-133256-0021,1183,133256,1183-133256-0021,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/1183/133256/1183-133256-0021,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/1183/133256/1183-133256-0021/1183-133256-0021.wav,/home/jaewoo/MAIR/ryu/RIR/data/speech/LibriSpeech_10h_60spk/clean/1183/133256/1183-133256-0021.flac,16000,16000,6.240000,6.240000,0.000000,1,ok,priority,exact
1183_133256_1183-133256-0022,1183,133256,1183-133256-0022,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/1183/133256/1183-133256-0022,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/1183/133256/1183-133256-0022/1183-133256-0022.wav,/home/jaewoo/MAIR/ryu/RIR/data/speech/LibriSpeech_10h_60spk/clean/1183/133256/1183-133256-0022.flac,16000,16000,15.045000,15.045000,0.000000,1,ok,priority,exact
1235_135883_1235-135883-0002,1235,135883,1235-135883-0002,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/1235/135883/1235-135883-0002,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/1235/135883/1235-135883-0002/1235-135883-0002.wav,/home/jaewoo/MAIR/ryu/RIR/data/speech/LibriSpeech_10h_60spk/clean/1235/135883/1235-135883-0002.flac,16000,16000,8.910000,8.910000,0.000000,1,ok,priority,exact
1235_135883_1235-135883-0003,1235,135883,1235-135883-0003,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/1235/135883/1235-135883-0003,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/1235/135883/1235-135883-0003/1235-135883-0003.wav,/home/jaewoo/MAIR/ryu/RIR/data/speech/LibriSpeech_10h_60spk/clean/1235/135883/1235-135883-0003.flac,16000,16000,15.145000,15.145000,0.000000,1,ok,priority,exact
1235_135883_1235-135883-0004,1235,135883,1235-135883-0004,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/1235/135883/1235-135883-0004,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/1235/135883/1235-135883-0004/1235-135883-0004.wav,/home/jaewoo/MAIR/ryu/RIR/data/speech/LibriSpeech_10h_60spk/clean/1235/135883/1235-135883-0004.flac,16000,16000,12.610000,12.610000,0.000000,1,ok,priority,exact
1235_135883_1235-135883-0012,1235,135883,1235-135883-0012,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/1235/135883/1235-135883-0012,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/1235/135883/1235-135883-0012/1235-135883-0012.wav,/home/jaewoo/MAIR/ryu/RIR/data/speech/LibriSpeech_10h_60spk/clean/1235/135883/1235-135883-0012.flac,16000,16000,14.765000,14.765000,0.000000,1,ok,priority,exact
1235_135883_1235-135883-0017,1235,135883,1235-135883-0017,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/1235/135883/1235-135883-0017,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/1235/135883/1235-135883-0017/1235-135883-0017.wav,/home/jaewoo/MAIR/ryu/RIR/data/speech/LibriSpeech_10h_60spk/clean/1235/135883/1235-135883-0017.flac,16000,16000,8.575000,8.575000,0.000000,1,ok,priority,exact
1235_135883_1235-135883-0026,1235,135883,1235-135883-0026,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/1235/135883/1235-135883-0026,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/1235/135883/1235-135883-0026/1235-135883-0026.wav,/home/jaewoo/MAIR/ryu/RIR/data/speech/LibriSpeech_10h_60spk/clean/1235/135883/1235-135883-0026.flac,16000,16000,15.355000,15.355000,0.000000,1,ok,priority,exact
1235_135883_1235-135883-0027,1235,135883,1235-135883-0027,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/1235/135883/1235-135883-0027,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/1235/135883/1235-135883-0027/1235-135883-0027.wav,/home/jaewoo/MAIR/ryu/RIR/data/speech/LibriSpeech_10h_60spk/clean/1235/135883/1235-135883-0027.flac,16000,16000,12.400000,12.400000,0.000000,1,ok,priority,exact
1235_135883_1235-135883-0046,1235,135883,1235-135883-0046,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/1235/135883/1235-135883-0046,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/1235/135883/1235-135883-0046/1235-135883-0046.wav,/home/jaewoo/MAIR/ryu/RIR/data/speech/LibriSpeech_10h_60spk/clean/1235/135883/1235-135883-0046.flac,16000,16000,8.680000,8.680000,0.000000,1,ok,priority,exact
1235_135884_1235-135884-0012,1235,135884,1235-135884-0012,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/1235/135884/1235-135884-0012,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/1235/135884/1235-135884-0012/1235-135884-0012.wav,/home/jaewoo/MAIR/ryu/RIR/data/speech/LibriSpeech_10h_60spk/clean/1235/135884/1235-135884-0012.flac,16000,16000,16.510000,16.510000,0.000000,1,ok,priority,exact
1235_135887_1235-135887-0009,1235,135887,1235-135887-0009,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/1235/135887/1235-135887-0009,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/1235/135887/1235-135887-0009/1235-135887-0009.wav,/home/jaewoo/MAIR/ryu/RIR/data/speech/LibriSpeech_10h_60spk/clean/1235/135887/1235-135887-0009.flac,16000,16000,12.670000,12.670000,0.000000,1,ok,priority,exact
1235_135887_1235-135887-0016,1235,135887,1235-135887-0016,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/1235/135887/1235-135887-0016,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/1235/135887/1235-135887-0016/1235-135887-0016.wav,/home/jaewoo/MAIR/ryu/RIR/data/speech/LibriSpeech_10h_60spk/clean/1235/135887/1235-135887-0016.flac,16000,16000,12.955000,12.955000,0.000000,1,ok,priority,exact
125_121124_125-121124-0002,125,121124,125-121124-0002,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/125/121124/125-121124-0002,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/125/121124/125-121124-0002/125-121124-0002.wav,/home/jaewoo/MAIR/ryu/RIR/data/speech/LibriSpeech_10h_60spk/clean/125/121124/125-121124-0002.flac,16000,16000,6.930000,6.930000,0.000000,1,ok,priority,exact
125_121124_125-121124-0010,125,121124,125-121124-0010,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/125/121124/125-121124-0010,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/125/121124/125-121124-0010/125-121124-0010.wav,/home/jaewoo/MAIR/ryu/RIR/data/speech/LibriSpeech_10h_60spk/clean/125/121124/125-121124-0010.flac,16000,16000,11.355000,11.355000,0.000000,1,ok,priority,exact
125_121124_125-121124-0015,125,121124,125-121124-0015,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/125/121124/125-121124-0015,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/125/121124/125-121124-0015/125-121124-0015.wav,/home/jaewoo/MAIR/ryu/RIR/data/speech/LibriSpeech_10h_60spk/clean/125/121124/125-121124-0015.flac,16000,16000,8.335000,8.335000,0.000000,1,ok,priority,exact
125_121124_125-121124-0035,125,121124,125-121124-0035,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/125/121124/125-121124-0035,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/125/121124/125-121124-0035/125-121124-0035.wav,/home/jaewoo/MAIR/ryu/RIR/data/speech/LibriSpeech_10h_60spk/clean/125/121124/125-121124-0035.flac,16000,16000,13.555000,13.555000,0.000000,1,ok,priority,exact
125_121124_125-121124-0036,125,121124,125-121124-0036,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/125/121124/125-121124-0036,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/125/121124/125-121124-0036/125-121124-0036.wav,/home/jaewoo/MAIR/ryu/RIR/data/speech/LibriSpeech_10h_60spk/clean/125/121124/125-121124-0036.flac,16000,16000,9.935000,9.935000,0.000000,1,ok,priority,exact
125_121124_125-121124-0080,125,121124,125-121124-0080,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/125/121124/125-121124-0080,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/125/121124/125-121124-0080/125-121124-0080.wav,/home/jaewoo/MAIR/ryu/RIR/data/speech/LibriSpeech_10h_60spk/clean/125/121124/125-121124-0080.flac,16000,16000,15.660000,15.660000,0.000000,1,ok,priority,exact
